unix,date,time,symbol,open,high,low,close,Volume SOL,Volume USDT,tradecount
1.62387E+12,16-06-21,19:00:00,SOL/USDT,39.565,39.868,39.432,39.499,135359.132,5366734.618,9467
1.62387E+12,16-06-21,18:00:00,SOL/USDT,39.439,39.996,38.633,39.565,353011.413,13865284.72,27057
1.62386E+12,16-06-21,17:00:00,SOL/USDT,38.897,39.53,38.6,39.444,221668.69,8670006.008,16648
1.62386E+12,16-06-21,16:00:00,SOL/USDT,39.535,41.75,38.57,38.912,1645548.507,66412549.29,118601
1.62386E+12,16-06-21,15:00:00,SOL/USDT,37.749,39.787,37.5,39.539,414806.417,16116717.18,25834
1.62385E+12,16-06-21,14:00:00,SOL/USDT,38.125,38.333,37.601,37.724,103825.58,3946405.126,6270
1.62385E+12,16-06-21,13:00:00,SOL/USDT,37.847,38.3,37.455,38.121,143855.905,5451330.455,11967
1.62384E+12,16-06-21,12:00:00,SOL/USDT,38.082,38.23,37.655,37.839,221418.442,8395071.638,12990
1.62384E+12,16-06-21,11:00:00,SOL/USDT,38.772,38.773,37.7,38.082,279152.274,10655833.16,22171
1.62384E+12,16-06-21,10:00:00,SOL/USDT,39.319,39.399,38.443,38.773,151153.8,5878125.411,10642
1.62383E+12,16-06-21,09:00:00,SOL/USDT,39.583,39.633,39.224,39.322,59329.787,2337539.184,4240
1.62383E+12,16-06-21,08:00:00,SOL/USDT,39.442,39.788,39.375,39.593,58752.284,2325624.884,5453
1.62383E+12,16-06-21,07:00:00,SOL/USDT,39.696,39.915,39.4,39.439,77630.123,3078910.801,5873
1.62382E+12,16-06-21,06:00:00,SOL/USDT,39.734,39.868,39.493,39.7,88743.388,3518121.906,9642
1.62382E+12,16-06-21,05:00:00,SOL/USDT,39.441,39.89,39.27,39.733,85442.4,3379985.77,5775
1.62382E+12,16-06-21,04:00:00,SOL/USDT,39.051,39.563,38.89,39.445,79088.036,3103243.288,6645
1.62381E+12,16-06-21,03:00:00,SOL/USDT,39.219,39.25,38.903,39.041,73272.58,2862740.093,5816
1.62381E+12,16-06-21,02:00:00,SOL/USDT,39.338,39.424,38.978,39.214,56453.715,2213405.046,4331
1.62381E+12,16-06-21,01:00:00,SOL/USDT,38.95,39.363,38.691,39.348,92247.54,3596437.579,6515
1.6238E+12,16-06-21,00:00:00,SOL/USDT,39.513,39.526,38.785,38.949,137355.482,5365967.888,10432
1.6238E+12,15-06-21,23:00:00,SOL/USDT,39.905,39.99,39.45,39.536,50693.946,2014037.354,3645
1.62379E+12,15-06-21,22:00:00,SOL/USDT,39.51,39.975,39.4,39.905,93948.654,3732246.325,6936
1.62379E+12,15-06-21,21:00:00,SOL/USDT,40.005,40.229,39.154,39.503,123491.005,4911793.985,10129
1.62379E+12,15-06-21,20:00:00,SOL/USDT,40.054,40.323,39.565,40.009,111341.636,4447042.743,10352
1.62378E+12,15-06-21,19:00:00,SOL/USDT,40.784,41,39.886,40.043,130328.874,5269175.457,11047
1.62378E+12,15-06-21,18:00:00,SOL/USDT,41.289,41.53,40.62,40.78,238928.635,9814899.33,16719
1.62378E+12,15-06-21,17:00:00,SOL/USDT,40.377,41.29,40.245,41.288,175864.895,7163466.353,12776
1.62377E+12,15-06-21,16:00:00,SOL/USDT,39.997,40.497,39.968,40.378,133142.179,5363384.952,7501
1.62377E+12,15-06-21,15:00:00,SOL/USDT,39.859,40.076,39.459,39.981,107812.669,4292374.015,8139
1.62377E+12,15-06-21,14:00:00,SOL/USDT,40.516,40.538,39.52,39.899,184214.928,7367364.068,13392
1.62376E+12,15-06-21,13:00:00,SOL/USDT,40.892,40.9,40.308,40.5,87237.42,3543396.839,6314
1.62376E+12,15-06-21,12:00:00,SOL/USDT,40.516,41.019,40.41,40.9,143633.636,5858350.98,10159
1.62375E+12,15-06-21,11:00:00,SOL/USDT,40.598,40.938,40.111,40.538,158013.388,6402397.356,9107
1.62375E+12,15-06-21,10:00:00,SOL/USDT,40.847,41.05,40.55,40.593,94713.476,3862518.103,6278
1.62375E+12,15-06-21,09:00:00,SOL/USDT,40.37,41.124,40.034,40.854,215345.093,8738277.969,17040
1.62374E+12,15-06-21,08:00:00,SOL/USDT,41.309,41.741,40.26,40.372,359862.814,14762025.89,29491
1.62374E+12,15-06-21,07:00:00,SOL/USDT,40.738,41.31,40.465,41.294,151616.394,6208939.292,10923
