unix,date,time,symbol,open,high,low,close,Volume USDC,Volume USDT,tradecount
1.61648E+12,23-03-21,07:00:00,USDC/USDT,1,1.0001,0.9999,1,3344580.88,3344491.13,1123
1.61648E+12,23-03-21,06:00:00,USDC/USDT,1,1.0001,0.9999,1,4233647.96,4233633.285,1360
1.61648E+12,23-03-21,05:00:00,USDC/USDT,0.9999,1.0002,0.9998,1,6981692.79,6981507.241,1588
1.61647E+12,23-03-21,04:00:00,USDC/USDT,0.9998,0.9999,0.9997,0.9999,2732151.08,2731678.069,821
1.61647E+12,23-03-21,03:00:00,USDC/USDT,0.9995,0.9998,0.9995,0.9997,3576352.61,3575204.572,1304
1.61646E+12,23-03-21,02:00:00,USDC/USDT,0.9994,0.9996,0.9994,0.9995,4045734.47,4043824.94,2904
1.61646E+12,23-03-21,01:00:00,USDC/USDT,0.9997,0.9997,0.9993,0.9995,7100424.92,7097119.778,3076
1.61646E+12,23-03-21,00:00:00,USDC/USDT,0.9997,0.9997,0.9995,0.9997,3656022.31,3654684.943,2001
1.61645E+12,22-03-21,23:00:00,USDC/USDT,1,1,0.9995,0.9996,5165364.94,5164232.221,1433
1.61645E+12,22-03-21,22:00:00,USDC/USDT,1.0001,1.0002,0.9993,1,6767122.48,6766710.853,2555
1.61645E+12,22-03-21,21:00:00,USDC/USDT,0.9995,1.0002,0.9992,1.0001,7838530.39,7837296.902,2817
1.61644E+12,22-03-21,20:00:00,USDC/USDT,1,1.0002,0.9992,0.9994,10766942.11,10765259.6,2948
1.61644E+12,22-03-21,19:00:00,USDC/USDT,1.0001,1.0002,0.9999,0.9999,5043639.32,5043606.894,2416
1.61644E+12,22-03-21,18:00:00,USDC/USDT,0.9999,1.0002,0.9998,1.0001,4430201,4430196.933,2284
1.61643E+12,22-03-21,17:00:00,USDC/USDT,0.9999,1,0.9997,0.9998,5509168.62,5508441.242,1971
1.61643E+12,22-03-21,16:00:00,USDC/USDT,0.9998,1,0.9998,0.9999,4823837.83,4823205.935,2321
1.61643E+12,22-03-21,15:00:00,USDC/USDT,0.9999,1.0001,0.9997,0.9999,5760518.24,5759922.177,2512
1.61642E+12,22-03-21,14:00:00,USDC/USDT,0.9999,1.0002,0.9995,0.9999,8937137.6,8936086.661,3341
1.61642E+12,22-03-21,13:00:00,USDC/USDT,1.0002,1.0002,0.9998,1,6676814.19,6677311.532,2995
1.61641E+12,22-03-21,12:00:00,USDC/USDT,1,1.0004,0.9998,1.0001,7543180.13,7543366.365,2434
1.61641E+12,22-03-21,11:00:00,USDC/USDT,1.0001,1.0002,0.9999,1,3762644.25,3762994.972,2004
1.61641E+12,22-03-21,10:00:00,USDC/USDT,1,1.0002,0.9999,1.0002,3778656.8,3778616.743,1913
